,Category,App Count,Total Installs,Mean Installs,Count Rank,Total Ins Rank,Mean Ins Rank
0,Game,53724,128349714530,2389057.302695257,1,1,7
1,Tools,19686,82510479341,4191327.81372549,4,2,4
2,Communication,5725,46183798625,8067039.061135371,14,3,1
3,Productivity,6960,30239553003,4344763.3625,12,4,3
4,Entertainment,21076,20655335842,980040.607420763,2,5,12
5,Video Players & Editors,3509,20205766195,5758269.078084924,19,6,2
6,Photography,7608,19390390537,2548684.350289169,11,7,6
7,Social,5018,19234942878,3833189.0948585095,17,8,5
8,Music & Audio,13865,12251117178,883600.2292102416,6,9,13
9,Personalization,16275,10950866677,672864.3119508448,5,10,17
10,Shopping,5481,7115410509,1298195.677613574,16,11,10
11,Books & Reference,12138,6428198212,529592.8663700775,7,12,20
12,Lifestyle,10333,5888607104,569883.5869544179,8,13,19
13,Travel & Local,5663,5597907391,988505.63146742,15,14,11
14,Education,20732,5357551732,258419.43526914917,3,15,30
15,Finance,10254,5351828911,521925.971425785,9,16,22
16,Health & Fitness,6264,5318050068,848986.2816091954,13,17,14
17,Business,7719,4056226899,525486.0602409638,10,18,21
18,News & Magazines,4982,2932609552,588641.0180650342,18,19,18
19,Weather,1755,2759243626,1572218.5903133904,25,20,8
20,Auto & Vehicles,1802,2456477036,1363194.8035516094,24,21,9
21,Maps & Navigation,3316,2433370725,733827.1185162846,20,22,15
22,Art & Design,2451,1049535610,428207.1032231742,23,23,24
23,Food & Drink,2697,998888811,370370.3414905451,21,24,28
24,Medical,2555,564625960,220988.63405088065,22,25,31
25,Comics,654,459099871,701987.5703363915,29,26,16
26,Dating,1167,443824837,380312.6281062554,26,27,27
27,House & Home,967,416364826,430573.7600827301,27,28,23
28,Beauty,858,341335324,397826.71794871794,28,29,26
29,Parenting,531,181835916,342440.5197740113,30,30,29
30,Libraries & Demo,417,177398138,425415.1990407674,31,31,25
31,Events,414,66137414,159752.2077294686,32,32,32
